layout_a,layout_b,ordered_path_distance_m,root_separation_m,same_remesh,same_root,surface_id,tangent_disagreement_rad,tree_edge_jaccard
R06_M01,R07_M02,0.14616251656113927,0.22048915459038554,False,False,saddle,1.62140237323789,
R06_M01,R00_M03,0.159986052297572,0.1145700316369551,False,False,saddle,1.488315403137755,
R06_M01,R01_M03,0.108233738904749,0.2879103679884758,False,False,saddle,1.599249525213143,
R06_M01,R02_M03,0.11826490061406875,0.35525116619951475,False,False,saddle,1.4939494867800673,
R06_M01,R03_M03,0.1306796439124631,0.12467479149085656,False,False,saddle,1.4494797907400212,
R06_M01,R04_M03,0.12810652946689444,0.1128691989799744,False,False,saddle,1.5249000822759688,
R06_M01,R05_M03,0.09636612582946283,0.20265229359919146,False,False,saddle,1.5692815811361578,
R06_M01,R06_M03,0.15381705981307836,0.0,False,True,saddle,1.6150886536404405,
R06_M01,R07_M03,0.1451440445933834,0.22048915459038554,False,False,saddle,1.528811230553775,
R07_M01,R00_M02,0.09809414467428984,0.11041718929043623,False,False,saddle,1.4870954166713737,
R07_M01,R01_M02,0.14986684375564852,0.29580897516811117,False,False,saddle,1.4632028441472378,
R07_M01,R02_M02,0.09576019690647546,0.1357386932093949,False,False,saddle,1.5277055064446732,
R07_M01,R03_M02,0.1570886270650634,0.34306397327789784,False,False,saddle,1.569201521624957,
R07_M01,R04_M02,0.1718646056388432,0.1706820834445698,False,False,saddle,1.6739812463198203,
R07_M01,R05_M02,0.12918803145557303,0.1069438095863962,False,False,saddle,1.6255612140811153,
R07_M01,R06_M02,0.12302738429873233,0.22048915459038554,False,False,saddle,1.526442254457947,
R07_M01,R07_M02,0.03808501571623379,0.0,False,True,saddle,1.1678492724511806,
R07_M01,R00_M03,0.09898422905809837,0.11041718929043623,False,False,saddle,1.5471812896466948,
R07_M01,R01_M03,0.16704268089087965,0.29580897516811117,False,False,saddle,1.67666261454541,
R07_M01,R02_M03,0.08930407429587699,0.1357386932093949,False,False,saddle,1.3290394121137443,
R07_M01,R03_M03,0.15133173965427132,0.34306397327789784,False,False,saddle,1.5009759835973657,
R07_M01,R04_M03,0.1725427198148924,0.1706820834445698,False,False,saddle,1.6949713450867456,
R07_M01,R05_M03,0.12704116568545443,0.1069438095863962,False,False,saddle,1.6891493209160235,
R07_M01,R06_M03,0.12252503490701441,0.22048915459038554,False,False,saddle,1.6475222689795204,
R07_M01,R07_M03,0.06568997645804218,0.0,False,True,saddle,1.4816305019043823,
R00_M02,R01_M02,0.1578767383041464,0.3158952374498296,True,False,saddle,1.6659232805599957,0.04411764705882353
R00_M02,R02_M02,0.13170747585062992,0.24517920089956544,True,False,saddle,1.690072768112906,0.16393442622950818
R00_M02,R03_M02,0.13048555540487625,0.2371448503244675,True,False,saddle,1.5089663800193434,0.19327731092436976
R00_M02,R04_M02,0.14578371975265497,0.17598382343965102,True,False,saddle,1.572146757187515,0.23478260869565218
R00_M02,R05_M02,0.15954986789567946,0.17415469627179858,True,False,saddle,1.7168827213855944,0.14516129032258066
R00_M02,R06_M02,0.08904691231790979,0.1145700316369551,True,False,saddle,1.598950518988651,0.5955056179775281
R00_M02,R07_M02,0.10241446276723162,0.11041718929043623,True,False,saddle,1.5634671473780193,0.4791666666666667
R00_M02,R00_M03,0.04218196487346976,0.0,False,True,saddle,1.2410490295441665,
R00_M02,R01_M03,0.15824012635470036,0.3158952374498296,False,False,saddle,1.7183854941511425,
R00_M02,R02_M03,0.1382468139660457,0.24517920089956544,False,False,saddle,1.6307056598529703,
R00_M02,R03_M03,0.12051040612077704,0.2371448503244675,False,False,saddle,1.503325457405484,
R00_M02,R04_M03,0.14445038701558915,0.17598382343965102,False,False,saddle,1.605673790407905,
R00_M02,R05_M03,0.15765012813982185,0.17415469627179858,False,False,saddle,1.5186140232088075,
R00_M02,R06_M03,0.08738413947397114,0.1145700316369551,False,False,saddle,1.50563349240735,
R00_M02,R07_M03,0.10622926404506142,0.11041718929043623,False,False,saddle,1.6580902882736615,
R01_M02,R02_M02,0.1424729050001834,0.2425279398636689,True,False,saddle,1.455177868787408,0.09230769230769231
R01_M02,R03_M02,0.11498198144222586,0.24553931105559418,True,False,saddle,1.6477461890983438,0.5106382978723404
R01_M02,R04_M02,0.07961302793670146,0.17685875809446694,True,False,saddle,1.534668837887235,0.49473684210526314
R01_M02,R05_M02,0.115606625185321,0.19344491910068237,True,False,saddle,1.6365972916066935,0.25663716814159293
R01_M02,R06_M02,0.15702846890781402,0.28791036798847575,True,False,saddle,1.6235446074947353,0.16393442622950818
R01_M02,R07_M02,0.15444961851031516,0.29580897516811105,True,False,saddle,1.467081993707521,0.04411764705882353
R01_M02,R00_M03,0.15738208299831297,0.31589523744982956,False,False,saddle,1.6934339892579915,
R01_M02,R01_M03,0.06902028044299126,0.0,False,True,saddle,1.4413857886023,
R01_M02,R02_M03,0.13686990702752147,0.2425279398636689,False,False,saddle,1.482878571540312,
R01_M02,R03_M03,0.11135831597280008,0.24553931105559418,False,False,saddle,1.4908900041810926,
R01_M02,R04_M03,0.088052392443422,0.17685875809446694,False,False,saddle,1.4801795378576004,
R01_M02,R05_M03,0.11500032238427856,0.19344491910068237,False,False,saddle,1.5722787377638303,
R01_M02,R06_M03,0.15553911857716055,0.28791036798847575,False,False,saddle,1.674005625823796,
R01_M02,R07_M03,0.16220100544047067,0.29580897516811105,False,False,saddle,1.6286325385801006,
R02_M02,R03_M02,0.1809806366711344,0.4778259848870271,True,False,saddle,2.1419138211649313,0.05970149253731343
R02_M02,R04_M02,0.16417510783410383,0.30544409505369907,True,False,saddle,1.4119820494176114,0.136
R02_M02,R05_M02,0.09419696869857223,0.1526462598216538,True,False,saddle,1.6072388872133414,0.4489795918367347
